Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Seven Bends,New Quantity Seven Bends,Stock Alert Enabled Seven Bends,Stock Alert Count Seven Bends,Tax - Sales Tax (6%)
QXA4UPRZR3CDWMFE6WHRS3Z6,Acer saccharinum (Silver Maple),,2 Gallon,,Acesac15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
2JLYCWW5QENPLAKRWRFTGD56,Acer saccharinum (Silver Maple),,3 Gallon,,Acesac18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,-1,,,,Y
E4Y4VPFCTLSYWK4NXTKUEDLN,Acer saccharinum (Silver Maple),,5 Gallon,,Acesac21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,2,,,,Y
5G4XLDRD4UDBF7UC5XYW45R2,Acer saccharum (Northern Sugar Maple),,Gallon,,Acesah9,"Popular shade tree due to a dense spreading crown that provides heavy shade. Grows slowly but matures quicker in open areas.  Drooping racemes of yellow flowers in spring make way for winged samaras in summer. Turns warm shades of red, orange and yellow in the fall.  Only tree used commercially to make maple syrup. 

Size: Height: 40' - 120' ; Width: 30' -60'
Light: Sun (Part-Full)
Moisture: Medium, 

-For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Cephas, CC BY-SA 4.0 , via Wikimedia Commons, Ryan Hodnett, CC BY-SA 4.0 , via Wikimedia Commons, Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons,    James St. John, CC BY 2.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
PHQGJ7M2QPWZITEQCVIN3TVY,Acer saccharum (Northern Sugar Maple),,True Gallon,,Acesah12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,3,,,,Y
3UYW5QD4LVKUUAMEUZSW5LG6,Acer saccharum (Northern Sugar Maple),,2 Gallon,,Acesah15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
HVOVOWOY4QNA7BHU3AASEIZA,Acer saccharum (Northern Sugar Maple),,3 Gallon,,Acesah18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,6,,,,Y
QJHF3SUS2XSHUUYCNQHFWJHY,Acer saccharum (Northern Sugar Maple),,5 Gallon,,Acesah21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
2GBYCNGX7MCEXKDJRIA57YYI,Achillea millefolium (Yarrow),,"4.5"" Pot",,Achmil3,"This spreading, mat-forming plant can naturalize an area. Fern-like leaves and upright branches lead to bright white-to-pink flowers in late summer. Tolerates poor soils and drought. Deer Resistant.

Size: Height: 2' - 3' ; Width: 2' -3'
Light: Sun (Full)
Moisture: Dry, Medium,

-

By Pethan, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=525680
By Dcrjsr - Own work, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=16059528",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,9.00,,N,,,,N,,,-40,,,,Y
FK4ZUUYXDPVFDTM4UDQGZF3T,Achillea millefolium (Yarrow),,Gallon,,Achmil9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,-1,,,,Y
I665YXITO5YK5ATEKRIMGFEY,Achillea millefolium (Yarrow),,True Gallon,,Achmil12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
42IUEHSERG2VUDCRCZ2QOVHA,Acorus americanus (Sweet Flag),,"4.5"" Pot",,Acoame3,"Flowering with grassy leaves; Ideal for rain gardens and a vigorous spreader. Native to PA, MD, but not VA.

Size: Height: 2' - 3' ; Width: 1.5' -2'
Light: Shade (Part-Full)
Moisture: Moist, Standing Water,

-",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,9.00,,N,,N,,N,,,29,,,,Y
ZUEC6KMRDEHXH27VV2WXGWTO,Acorus americanus (Sweet Flag),,Gallon,,Acoame9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,6,,,,Y
7SB5U7SRECQK5P7HQCW7CN24,Acorus americanus (Sweet Flag),,True Gallon,,Acoame12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
SNVSE5W6IBFL7OJFN2VERYKZ,Actaea pachypoda (Dolls Eyes),,"4.5"" Pot",,Actpac3,"Blooms small white flowers in clusters during spring. White berries appear in summer which gives the plant its common name as they resemble doll eyes.  Fruits are eaten by a variety of birds.  Plant spreads through rhizomes.

Size: Height: 1' - 3' ; Width: 2' -3'
Light: Shade (Part-Full)
Moisture: Moist, 

-

Meneerke bloem, CC BY-SA 3.0 , via Wikimedia Commons,    Laval University, CC BY-SA 4.0 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,15.00,,N,,N,,,,,0,,,,Y
GXJX36J3IOL4Z6B3Z5C65KGO,Actaea pachypoda (Dolls Eyes),,Gallon,,Actpac9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
3J3DIPVVWS4FSDVZX2LOOE3R,Actaea pachypoda (Dolls Eyes),,True Gallon,,Actpac12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,23.00,,N,,,,,,,0,,,,Y
WRWJEH5BJIDMPOXIPPZYZOCR,Actaea racemosa (Black Cohosh),,"4.5"" Pot",,Actrac3,"Spears of small, white flowers bloom in early summer and rise well above the rest of the foliage. The plant is known for its odorless insect-repelling properties.

Size: Height: 3' - 6' ; Width: 2' -4'
Light: Shade (Full)
Moisture: Medium, Moist,

-

By Salicyna - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=47975506
By H. Zell - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=8950508",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,13.00,,N,,,,,,,0,,,,Y
UHR24SVJ3FTB24OJ75X3UVTK,Actaea racemosa (Black Cohosh),,Gallon,,Actrac9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
UC7GKHCWQAOH4QOS563JG66Z,Actaea racemosa (Black Cohosh),,True Gallon,,Actrac12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
CXYHMIWTL547GFJ23ETBADIF,Adiantum pedatum (Maidenhair Fern),,"4.5"" Pot",,Adiped3,"Deciduous perennial fern with bright green fronds and black stems spreads in a circular pattern. Will do well in shady woodlands, beds, and rain gardens.

Size: Height: 0.5' - 2' ; Width: 2' -2'
Light: Shade (Part-Full)
Moisture: Medium, Moist,

-

By Stan Shebs, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=602708,  USFWS - Pacific Region, Public domain, via Wikimedia Commons
By Walter Siegmund - Own work, CC BY 2.5, https://commons.wikimedia.org/w/index.php?curid=2127736
By Cephas - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=19729634",Fern,Fern,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,,,N,,,56,,,,Y
YLIZNQLHAT63NHUZJE7VWJLE,Adiantum pedatum (Maidenhair Fern),,Gallon,,Adiped9,,Fern,Fern,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,5,,,,Y
6GV4OPNRPMDLK3A67FUB2DYJ,Aesculus parviflora (Bottlebrush Buckeye),,Gallon,,Aespar9,"Delightful summer blooms of showy, 12"" flower clusters of tubular white flowers and bright red anthers. Flowers give way to pear-shaped buckeyes and foliage turns yellow in autumn. Drought and Deer tolerant. Attracts Butterflies

Size: Height: 8' - 12' ; Width: 8' -15'
Light: Shade (Part-Full)
Moisture: Moist,

-

Wendy Cutler from Vancouver, Canada [CC BY (https://creativecommons.org/licenses/by/2.0)]",Tree,Tree,,,,,hidden,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
COZ64HKE5D4DQKEOXA34X2LZ,Aesculus parviflora (Bottlebrush Buckeye),,True Gallon,,Aespar12,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
6CU7SNJ3ABM7I2P34IT3FPMU,Aesculus parviflora (Bottlebrush Buckeye),,2 Gallon,,Aespar15,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
SDMG4ZO5SJS72R5LDM4RUEIF,Aesculus parviflora (Bottlebrush Buckeye),,3 Gallon,,Aespar18,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
FMR6WPF3IFPLMHN7DA7WXI6O,Aesculus parviflora (Bottlebrush Buckeye),,5 Gallon,,Aespar21,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
DSSIMXI72U2UDY772C2B4S6L,Aesculus pavia (Red Eastern Buckeye),,Gallon,,Aespav9,"Bright, red, upright flower clusters bloom in spring, which attract hummingbirds. Buckeyes ripen in the fall. Prefers some afternoon or extra moisture in hot, dry conditions.

Size: Height: 12' - 15' ; Width: 12' -15'
Light: Sun (Part-Full)
Moisture: Medium, Moist,

-

Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons
Betty from Eads, Tennessee, United States, CC BY 2.0 , via Wikimedia Commons",Tree,Tree,,,,,hidden,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
5PKR3TSDBCNXQFF3IYSF2E6G,Aesculus pavia (Red Eastern Buckeye),,True Gallon,,Aespav12,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
IU5W54MZC5EA4YCA7GCYLQE2,Aesculus pavia (Red Eastern Buckeye),,2 Gallon,,Aespav15,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
KS7VQUS6IS6OBQVCUCIHV6ZZ,Aesculus pavia (Red Eastern Buckeye),,3 Gallon,,Aespav18,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
GNA5G4PVSGQ5WZA6PUGXUOL3,Aesculus pavia (Red Eastern Buckeye),,5 Gallon,,Aespav21,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
WYB7RV23GEFTEXLT26QQIEMC,Agalinis purpurea (Purple False Foxglove),,"4.5"" Pot",,Agapur3,"Annual that readily reseeds itself in a garden.  Blooms lovely pink tubular flowers.  Attracts bees.

Size: Height: 1' - 4' ; Width: 1' - 1.5'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-

Joshua Mayer from Madison, WI, USA, CC BY-SA 2.0 , via Wikimedia Commons,  Fritzflohrreynolds, CC BY-SA 3.0 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,N,,N,,,0,,,,Y
RY5TZ63MS5B2RB4LABKC3DPO,Agalinis purpurea (Purple False Foxglove),,Gallon,,Agapur9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
WRXYTRPB6JZSKONDJBHKGQGF,Agalinis purpurea (Purple False Foxglove),,True Gallon,,Agapur12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
EMIIMHV4KCG44EHO6ASGX4N3,Agastache nepetoides (Yellow Giant Hyssop),,"4.5"" Pot",,Aganep3,"Fast growing perennial that produces long lasting whorls of tiny greenish-yellow flowers. Has large toothed arrow shaped leaves.  Attracts bees and butterflies. Heat and humidity tolerant.

Size: Height: 4' - 6' ; Width: 1' -3'
Light: Sun (Part-Full)
Moisture: Dry, Medium, 

-

Fritzflohrreynolds, CC BY-SA 3.0 , via Wikimedia Commons,   Potentillarecta, CC BY-SA 4.0 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,N,,,,,0,,,,Y
33JKESEP6PBOE3R3E77VD7KO,Agastache nepetoides (Yellow Giant Hyssop),,Gallon,,Aganep9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
T7YAGCZIUFHHPOIBLD4ZGT4U,Agastache nepetoides (Yellow Giant Hyssop),,True Gallon,,Aganep12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
75NKG3QR6Y347JOXS3NB7KVM,Agastache scrophulariifolia (Giant Purple Hyssop),,"4.5"" Pot",,Agascr3,"Lavender flowers bloom in late summer upon tall spikes, and are a great attractor for bees and butterflies. The strong structure of the flower spikes lets them stay upright through the winter, creating interest in the yard.

Size: Height: 2' - 5' ; Width: 1' -3'
Light: Sun (Part-Full)
Moisture: Dry, Medium, 

-

USDA NRCS, Public domain, via Wikimedia Commons, Alaina Krakowiak, CC BY 4.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,,,N,,,54,,,,Y
XML644ZAUTHSQ6I2VRUZI7GP,Agastache scrophulariifolia (Giant Purple Hyssop),,Gallon,,Agascr9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,140,,,,Y
LM4JJ2QAQ5NUMHW5JNUEUWGK,Agastache scrophulariifolia (Giant Purple Hyssop),,True Gallon,,Agascr12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
P6QWAQJHMPRLH5NSBYZISXB5,Ageratina altissima (White Snakeroot),,"4.5"" Pot",,Agealt3,"Tallest aster in its genus.  Booms long lasting white flowers.  Attracts butterflies, bees and songbirds.  

Size: Height: 2' - 5' ; Width: 2' - 4'
Light: Shade (Part-Full)
Moisture: Dry, Medium, 

-

Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons,  Cbaile19, CC0, via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,N,,N,,,107,,,,Y
PHVIMHIVDOLTDAC6MHSX7RFG,Ageratina altissima (White Snakeroot),,Gallon,,Agealt9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
FFTFDASX3Y7LD7E2RB3ONWCQ,Ageratina altissima (White Snakeroot),,True Gallon,,Agealt12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
FPVQVE56QJBBBYCMSSD7266P,Allium cernuum (Nodding Onion),,"4.5"" Pot",,Allcer3,"Narrow, grass-like leaves lead to small pink flowers the appear in clusters in the summer. Smells of onion when cut. Deer and drought tolerant.

Size: Height: 1.5' - 1.5' ; Width: 5' -5'
Light: Shade (Part-Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,N,,N,,,100,,,,Y
STTVXSOQSDHPMLJ4GG4MH2HR,Allium cernuum (Nodding Onion),,Gallon,,Allcer9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
23LGU527SRHAEBVS2LASJ4US,Allium cernuum (Nodding Onion),,True Gallon,,Allcer12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
CX7RC5YHYU6MFZ6HLGWUGOA7,Allium tricoccum (Ramp),,"4.5"" Pot",,Alltri3,"Rare delicacies, clipping leaves can add great garlic-like flavor to cooking.

Size: Height: 0.5' - 0.5' ; Width: 1' -2'
Light: Shade (Full)
Moisture: Moist,

-

Fungus Guy [CC BY-SA (https://creativecommons.org/licenses/by-sa/3.0)]
Fungus Guy [CC BY-SA (https://creativecommons.org/licenses/by-sa/3.0)]",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,13.00,,N,,,,,,,0,,,,Y
ZFW6XI7XNIQLU4NOQX6VGSXZ,Allium tricoccum (Ramp),,Gallon,,Alltri9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
GMKJ5FEULZAVYFWBZTPTUCIU,Allium tricoccum (Ramp),,True Gallon,,Alltri12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
Z7YK3Y6GEMG5AGE7LRTEBQP4,Alnus serrulata (Hazel Alder),,Gallon,,Alnser9,"Small, deciduous tree with smooth grey bark and wavy alternate leaves.  Blooms green male catkins and red female catkins in winter and spring.  Produces brown cone-like seeds that last through winter.

Size: Height: 10' - 15' ; 8' - 15'
Light: Sun (Part-Full)
Moisture: Medium,

-For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
W4C4V3QZ6KT55KLEKVIKJT7A,Alnus serrulata (Hazel Alder),,True Gallon,,Alnser12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,0,,,,Y
T7REMNGPZJE4P2GJD3JWDAAZ,Alnus serrulata (Hazel Alder),,2 Gallon,,Alnser15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,,,2,,,,Y
3WZPOL7YMYMFXSOHVEE2HP7J,Alnus serrulata (Hazel Alder),,3 Gallon,,Alnser18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
RPTR7G4VKXGXJ253ROZYSZP2,Alnus serrulata (Hazel Alder),,5 Gallon,,Alnser21,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
STLCFURXHXKSZX5EPJEBVUWY,Amelanchier canadensis (Canadian Serviceberry),,Gallon,,Amecan9,"This small tree blooms its white flowers in early spring, before the leaves emerge. Flowers give way to edible berries, which ripen to red and then dark purple in early summer. Tolerates clay.

Size: Height: 25' - 30' ; Width: 15' -20'
Light: Sun (Part-Full)
Moisture: Medium,

-For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

By Plant Image Library - Amelanchier canadensis (Thicket Serviceberry), CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=55245277
By jeansef - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=49500787
By Rasbak - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=108919",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
IRFPZPJXT6ACW3ZN7ELHWPWS,Amelanchier canadensis (Canadian Serviceberry),,True Gallon,,Amecan12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,0,,,,Y
MZVJTNBVVHTT7FJ5AT263TDD,Amelanchier canadensis (Canadian Serviceberry),,2 Gallon,,Amecan15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
BGGBQGA55UBBFLNGDN2AZDWJ,Amelanchier canadensis (Canadian Serviceberry),,3 Gallon,,Amecan18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,7,,,,Y
UJQXZQMCGFCWOFIIUPK6A6VZ,Amelanchier canadensis (Canadian Serviceberry),,5 Gallon,,Amecan21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,N,,,-3,,,,Y
I44SCSU3VBDPDMIFT66FK66C,Amelanchier laevis (Allegheny Serviceberry),,Gallon,,Amelae9,"Fast growing deciduous tree or shrub in the rose family.  Blooms in spring with 5-petaled, white flowers on 4-inch racemes.  Purple edible berries mature in June.

Size: Height: 15' - 25' ; Width: 15' -20'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Laval University, CC BY-SA 4.0 , via Wikimedia Commons,   dw_ross from Springfield, VA, USA, CC BY 2.0 , via Wikimedia Commons,   Andy Reago & Chrissy McClarren, CC BY 2.0 , via Wikimedia Commons, Ryan Hodnett, CC BY-SA 4.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
NN4VENFFORIEDI6AVT7N6PHS,Amelanchier laevis (Allegheny Serviceberry),,True Gallon,,Amelae12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,25,,,,Y
33Q7G2KBAXWHTDCFXG4LU4FI,Amelanchier laevis (Allegheny Serviceberry),,2 Gallon,,Amelae15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,5,,,,Y
Q7CG7CHOTEAVEWTVHNZ6J3LQ,Amelanchier laevis (Allegheny Serviceberry),,3 Gallon,,Amelae18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
ICWW7RFEIJR4TKXZD3H4CFX4,Amelanchier laevis (Allegheny Serviceberry),,5 Gallon,,Amelae21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,N,,,0,,,,Y
TXSXFK3ZEKPJW72GPO3RTCAU,Amorpha fruticosa (False Indigo Bush or River Locust),,Gallon,,Amofru9,"Tubular, scented flowers bloom in May-June in spiked clusters, followed by small seed pods in July and August. Good for moist areas or poor soils. Attracts Butterflies.

Size: Height: 4' - 12' ; Width: 6' -15'
Light: Sun (Full)
Moisture: Dry, Moist, 

-

Dalgial, CC BY-SA 3.0 , via Wikimedia Commons",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
TGKJCFTNDXAJXZBONFNTRTW3,Amorpha fruticosa (False Indigo Bush or River Locust),,True Gallon,,Amofru12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,36,,,,Y
KVYH6LDMRNHO5KUNW4XETNXZ,Amorpha fruticosa (False Indigo Bush or River Locust),,2 Gallon,,Amofru15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,,,,12,,,,Y
AHJVBCLT73RFZNUZNMNZ3HPX,Amorpha fruticosa (False Indigo Bush or River Locust),,3 Gallon,,Amofru18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
