Square.Category,Category,Scientific Name,Common Name,Item.Type,Species ID,Item.Name,Light,Moisture,SoilType,Height_low,Height_high,Width_low,Width_high,Size_Concat,Bloom_time,Bloom_color,Sex,Deer_Resistant,Drainfield_OK,NativeRange,Local_Ecotype,GermCode,DescriptionBase,Photo Credits,Shade Program
Shrub,Shrub,Hamamelis virginiana,Witch Hazel,Physical good,Hamvir,Hamamelis virginiana (Witch Hazel),Shade (Part-Full),"Dry, Medium, ",Clay,15,20,15,20,Height: 15' - 20' ; Width: 15' -20',October,Yellow,,,,,,M,Fall-blooming shrub makes yellow flowers and seed-pod fruits that grow through winter and open the following year. Deer and clay tolerant.,,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Hydrangea arborescens,Smooth Hydrangea,Physical good,Hydarb,Hydrangea arborescens (Smooth Hydrangea),Sun (Part-Full),"Medium, Moist, ","Clay, Laom, Sand, Rocky",3,5,3,5,Height: 3' - 5' ; Width: 3' - 5',"Spring, Summer",White,,,,,,C(30),"Rounded, deciduous shrub that is a popular planting in native gardens.  Produces large clusters of blooms on new shoots.  Attracts butterflies, moths and songbirds. ","Jacob Malcom, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,  Kor!An (Андрей Корзун), CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons,  DouglasGoldman, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Hypericum prolificum,Shrubby St. John's Wort,Physical good,Hyppro,Hypericum prolificum (Shrubby St. John's Wort),Sun (Part-Full),"Dry, Moist, ",Sandy,1,5,1,4,Height: 1' - 5' ; Width: 1' -4',Summer,Yellow,,,,,,"A,D","Compact, rounded shrub with bright yellow flowers in summer. Works well as a hedge and to stabilize banks. Tolerates rocky, sandy soils and some drought.","Eric Hunt, CC BY-SA 4.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Itea virginica,Sweetspire,Physical good,Itevir,Itea virginica (Sweetspire),Sun (Part-Full),"Medium, Moist, ",,3,4,4,6,Height: 3' - 4' ; Width: 4' -6',"Spring, Summer",White,,,,,,,"An upright, rounded shrub with tiny white flowers in drooping cylinders in early spring. Prefers wet soils and can form colonies through suckering. Adaptable to shade and wet locations.","Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons, Famartin, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
I, SB Johnny, CC BY-SA 3.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Kalmia latifolia,Mountain Laurel,Physical good,Kallat,Kalmia latifolia (Mountain Laurel),Shade (Part-Full),"Medium, ",,5,15,5,15,Height: 5' - 15' ; Width: 5' -15',"Spring, Summer",Pink,,,,,have,,"Broadleaf evergreen shrub with late-spring 1"" cup-shaped rose-to-purple flowers. Brown fruits emerge and last through the winter. Showy blooms make this an excellent focal point in a yard. Avoid clays.","A. Barra, CC BY 3.0 , via Wikimedia Commons,  HLWolfe, CC0, via Wikimedia Commons
Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Lindera benzoin,Spicebush,Physical good,Linben,Lindera benzoin (Spicebush),Shade (Part-Full),"Dry, Medium, ",Clay,6,12,6,12,Height: 6' - 12' ; Width: 6' -12',Spring,Yellow,,,,,y,,Groups of greenish flowers bloom in spring. Needs male and female plants to pollinate berries. Spicebush swallowtail larvae feed on the leaves of this shrub. Clay and drought tolerant.,"R. A. Nonenmacher, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Morella pensylvanica,Northern Bayberry,Physical good,Morpen,Morella pensylvanica (Northern Bayberry),Sun (Part-Full),"Dry, Medium, ",,3,12,3,12,Height: 3' - 12' ; Width: 3' -12',Spring,Yellow,,,,,,,"Hard, white berries remain on the female plant all winter and feed birds. Tolerates a wide variety of wet to dry soils, including some salt spray. Male and Female plants are needed to make berries.","Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Myrica cerifera,Southern Bayberry,Physical good,Myrcer,Myrica cerifera (Southern Bayberry),Sun (Part-Full),"Medium, ",Sandy,20,25,8,10,Height: 20' - 25' ; Width: 8' -10',Spring,Yellow,,,,,,,Dioecious broadleaf evergreen shrub or tree. Requires both male and female plants for good berry production. Can sucker to form sizable colonies. Great planting for a privacy hedge. Produces small yellow flowers that give way to bluish-grey waxy berries.,"Forest & Kim Starr, CC BY 3.0 US <https://creativecommons.org/licenses/by/3.0/us/deed.en>, via Wikimedia Commons,  Forest & Kim Starr, CC BY 3.0 US <https://creativecommons.org/licenses/by/3.0/us/deed.en>, via Wikimedia Commons,   User:BotBln, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Physocarpus opulifolius,Ninebark,Physical good,Phyopu,Physocarpus opulifolius (Ninebark),Sun (Part-Full),"Dry, Moist, ",,5,8,4,6,Height: 5' - 8' ; Width: 4' -6',Summer,White,,,,,,"C(60),M","Upright deciduous shrub with rough bark that peels in strips, revealing reddish to brown layers of inner bark. Small white flowers appear in late spring and red fuit after. Grows in harsh conditions.","Jean-Pol GRANDMONT, CC BY-SA 3.0 , via Wikimedia Commons, Abraham, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons
James H. Miller & Ted Bodner, Southern Weed Science Society, Bugwood.org, CC BY 3.0 US , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhododendron maximum,Great Laurel,Physical good,Rhomax,Rhododendron maximum (Great Laurel),Shade (Part-Full),"Medium, ",,5,15,5,12,Height: 5' - 15' ; Width: 5' -12',Summer,White,,,,,have,,"Large, late-blooming evergreen shrub. Large leaves are tinged with orange underneath. 2"" rose-purple flowers bloom in early summer.","SterlingHerron, CC0, via Wikimedia Commons,  Isoetid, CC0, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhododendron periclymenoides,Pinxter Azalea,Physical good,Rhoper,Rhododendron periclymenoides (Pinxter Azalea),Shade (Part-Full),"Medium, ",,3,6,4,7,Height: 3' - 6' ; Width: 4' -7',Spring,Pink,,,,,,,Clusters of pink-white flowers bloom in April right before the emergence of foliage. Attracts hummingbirds and butterflies. Avoid wet soils and clays.,"Nicholas A. Tonelli from Northeast Pennsylvania, USA, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhododendron prinophyllum,Roseshell Azalea,Physical good,Rhopri,Rhododendron prinophyllum (Roseshell Azalea),Shade (Part-Full),"Medium, ",,4,8,4,8,Height: 4' - 8' ; Width: 4' -8',"Spring, Summer",Pink,,,,,,,"Pink flowers bloom early spring, often before foliage. Bright green leaves turn bronze in the fall.","Eric Hunt, CC BY-SA 4.0 , via Wikimedia Commons,  Plant Image Library, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons
Daderot, CC0, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhododendron viscosum,Swamp Azalea,Physical good,Rhovis,Rhododendron viscosum (Swamp Azalea),Shade (Part-Full),"Moist, ",,3,5,3,5,Height: 3' - 5' ; Width: 3' -5',Summer,White,,,,,can find,,"Found in swamps and bogs, this plant can tolerate periodic drought, although not consistently wet roots. White-to-pink flowers emerge early summer. Leaves turn yellow, orange, purple in fall.","Plant Image Library, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhus aromatica,Fragrant Sumac,Physical good,Rhuaro,Rhus aromatica (Fragrant Sumac),Sun (Part-Full),"Very Dry, Dry, ",Clay,2,6,6,10,Height: 2' - 6' ; Width: 6' -10',Summer,Yellow,,,,,,"BorC(60),H","This reaching shrub can spread through root suckers. It's leaves are aromatic when crushed and turn color in the fall. Small, red fruits on female shrubs are edible by wildlife. Tolerates clay, poor soils.","Salicyna, CC BY-SA 4.0 , via Wikimedia Commons, Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
Bruce Marlin, CC BY-SA 3.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Rhus typhina,Staghorn Sumac,Physical good,Rhutyp,Rhus typhina (Staghorn Sumac),Sun (Part-Full),"Very Dry, Dry, ",,15,25,20,30,Height: 15' - 25' ; Width: 20' -30',"Spring, Summer",White,,,,,can find,,Reddish hairs cover young branches like the velvet of stag horns on deer. Tooth-leaved branches turn yellow/orange/red in autumn. Green-yellow flowers in early summer. Pyramidal red fruits ripen in autumn and persist through winter. Drought Tolerant.,"Herman, D.E., et al. 1996. North Dakota tree handbook. USDA NRCS ND State Soil Conservation Committee; NDSU Extension and Western Area Power Administration, Bismarck. Courtesy of ND State Soil Conservation Committee. Provided by USDA NRCS ND State Office. United States, ND. [Public domain], Tom Pollard, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Sambucus canadensis,Elderberry,Physical good,Samcan,Sambucus canadensis (Elderberry),Sun (Part-Full),"Medium, Moist, ",Clay,5,12,5,12,Height: 5' - 12' ; Width: 5' -12',Summer,White,,,,,can find,M,"Deciduous shrub prefers moist soils. Tiny, lemon-scented flowers appear in clusters 10"" across in early summer and create black elderberries in late summer that can make jams, pie fillings, and feed wildlife. Tolerates clay.","Philiptdotcom, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Staphylea trifolia,Bladdernut,Physical good,Statri,Staphylea trifolia (Bladdernut),Sun (Part-Full),"Medium, Moist, ",Clay,10,15,10,15,Height: 10' - 15' ; Width: 10' -15',Spring,White,,,,,,F,"Fast-growing, upright, deciduous, perennial and flowering shrub. Heavily branched and capable of reproducing by suckering. Bloom showy green-white bell shaped flowers from April to May. Flowers give way to inflated, bladder-like, papery seed capsules maturing in late summer, persist into early winter. Attracts pollinators and small mammals.","Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Vaccinium angustifolium,Lowbush Blueberry,Physical good,Vacang,Vaccinium angustifolium (Lowbush Blueberry),Shade (Part-Full),"Dry, Medium, ",,1,2,1,2,Height: 1' - 2' ; Width: 1' -2',Spring,White,,,,,have seed- brady,,"Small, white, bell-shaped flowers in spring give way to plentiful blueberries in the summer--edible to people and animals!","?64, CC BY 3.0 , via Wikimedia Commons, 0x010C, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Vaccinium corymbosum,Highbush Blueberry,Physical good,Vaccor,Vaccinium corymbosum (Highbush Blueberry),Sun (Part-Full),"Medium, ",,6,12,8,12,Height: 6' - 12' ; Width: 8' -12',Spring,White,,,,,,,"Grown in bogs, this plant can tolerate wet soils. Blueberries are edible","By Oleg Bosyy - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=29466866,  Fritzflohrreynolds, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Viburnum dentatum,Arrowwood Viburnum,Physical good,Vibden,Viburnum dentatum (Arrowwood Viburnum),Sun (Part-Full),"Dry, Medium, ",Clay,6,8,6,10,Height: 6' - 8' ; Width: 6' -10',Spring,White,,,,,,,"This shrub creates white groups of flowers in late spring that create blue-black berries, attracting birds in fall. Yellow, orange, and red foliage in fall.Clay tolerant.","Photo by David J. Stang, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Viburnum lentago,Nannyberry Viburnum,Physical good,Viblen,Viburnum lentago (Nannyberry Viburnum),Sun (Part-Full),"Dry, Medium, ",,12,36,6,12,Height: 12' - 36' ; Width: 6' -12',Spring,White,,,,,can find,,This shrub makes white flowers in groups in spring that give way to berries in autumn that birds feed on. Edible fruit. Attracts butterflies,,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Viburnum nudum,Possumhaw Viburnum,Physical good,Vibnud,Viburnum nudum (Possumhaw Viburnum),Sun (Part-Full),"Medium, ",,12,36,5,12,Height: 12' - 36' ; Width: 5' -12',Spring,White,,,,,can find,,"Fragrant, white flower clusters emerge in May through June, giving way to berries that ripen from pink to blue-black. Leaves turn a wonderful maroon in the fall. Tolerates wet, boggy soil.","By Rob Routledge, Sault College, Bugwood.org - http://www.forestryimages.org/browse/subthumb.cfm?sub=54970, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=48393739
By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=61100680 By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=61177053","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
